"Notes"	"Cancer Sites"	"Cancer Sites Code"	"Race"	"Race Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	Count
	"All Invasive Cancer Sites Combined"	"0"	"American Indian or Alaska Native"	"1002-5"	"30-34 years"	"30-34"	"Female"	"F"	2370
	"All Invasive Cancer Sites Combined"	"0"	"American Indian or Alaska Native"	"1002-5"	"30-34 years"	"30-34"	"Male"	"M"	1293
	"All Invasive Cancer Sites Combined"	"0"	"American Indian or Alaska Native"	"1002-5"	"35-39 years"	"35-39"	"Female"	"F"	3670
	"All Invasive Cancer Sites Combined"	"0"	"American Indian or Alaska Native"	"1002-5"	"35-39 years"	"35-39"	"Male"	"M"	1780
	"All Invasive Cancer Sites Combined"	"0"	"American Indian or Alaska Native"	"1002-5"	"40-44 years"	"40-44"	"Female"	"F"	5425
	"All Invasive Cancer Sites Combined"	"0"	"American Indian or Alaska Native"	"1002-5"	"40-44 years"	"40-44"	"Male"	"M"	2648
	"All Invasive Cancer Sites Combined"	"0"	"American Indian or Alaska Native"	"1002-5"	"45-49 years"	"45-49"	"Female"	"F"	7686
	"All Invasive Cancer Sites Combined"	"0"	"American Indian or Alaska Native"	"1002-5"	"45-49 years"	"45-49"	"Male"	"M"	4562
	"All Invasive Cancer Sites Combined"	"0"	"American Indian or Alaska Native"	"1002-5"	"50-54 years"	"50-54"	"Female"	"F"	9794
	"All Invasive Cancer Sites Combined"	"0"	"American Indian or Alaska Native"	"1002-5"	"50-54 years"	"50-54"	"Male"	"M"	8093
	"All Invasive Cancer Sites Combined"	"0"	"American Indian or Alaska Native"	"1002-5"	"55-59 years"	"55-59"	"Female"	"F"	11582
	"All Invasive Cancer Sites Combined"	"0"	"American Indian or Alaska Native"	"1002-5"	"55-59 years"	"55-59"	"Male"	"M"	11359
	"All Invasive Cancer Sites Combined"	"0"	"American Indian or Alaska Native"	"1002-5"	"60-64 years "	"60-64"	"Female"	"F"	12214
	"All Invasive Cancer Sites Combined"	"0"	"American Indian or Alaska Native"	"1002-5"	"60-64 years "	"60-64"	"Male"	"M"	13593
	"All Invasive Cancer Sites Combined"	"0"	"American Indian or Alaska Native"	"1002-5"	"65-69 years"	"65-69"	"Female"	"F"	11849
	"All Invasive Cancer Sites Combined"	"0"	"American Indian or Alaska Native"	"1002-5"	"65-69 years"	"65-69"	"Male"	"M"	14008
	"All Invasive Cancer Sites Combined"	"0"	"American Indian or Alaska Native"	"1002-5"	"70-74 years"	"70-74"	"Female"	"F"	9976
	"All Invasive Cancer Sites Combined"	"0"	"American Indian or Alaska Native"	"1002-5"	"70-74 years"	"70-74"	"Male"	"M"	11879
	"All Invasive Cancer Sites Combined"	"0"	"American Indian or Alaska Native"	"1002-5"	"75-79 years"	"75-79"	"Female"	"F"	7702
	"All Invasive Cancer Sites Combined"	"0"	"American Indian or Alaska Native"	"1002-5"	"75-79 years"	"75-79"	"Male"	"M"	8525
	"All Invasive Cancer Sites Combined"	"0"	"American Indian or Alaska Native"	"1002-5"	"80-84 years"	"80-84"	"Female"	"F"	5193
	"All Invasive Cancer Sites Combined"	"0"	"American Indian or Alaska Native"	"1002-5"	"80-84 years"	"80-84"	"Male"	"M"	5115
	"All Invasive Cancer Sites Combined"	"0"	"American Indian or Alaska Native"	"1002-5"	"85+ years"	"85+"	"Female"	"F"	4166
	"All Invasive Cancer Sites Combined"	"0"	"American Indian or Alaska Native"	"1002-5"	"85+ years"	"85+"	"Male"	"M"	3180
	"All Invasive Cancer Sites Combined"	"0"	"Asian or Pacific Islander"	"A-PI"	"< 1 year"	"1"	"Female"	"F"	554
	"All Invasive Cancer Sites Combined"	"0"	"Asian or Pacific Islander"	"A-PI"	"< 1 year"	"1"	"Male"	"M"	613
	"All Invasive Cancer Sites Combined"	"0"	"Asian or Pacific Islander"	"A-PI"	"1-4 years"	"1-4"	"Female"	"F"	1720
	"All Invasive Cancer Sites Combined"	"0"	"Asian or Pacific Islander"	"A-PI"	"1-4 years"	"1-4"	"Male"	"M"	2109
	"All Invasive Cancer Sites Combined"	"0"	"Asian or Pacific Islander"	"A-PI"	"5-9 years"	"5-9"	"Female"	"F"	1187
	"All Invasive Cancer Sites Combined"	"0"	"Asian or Pacific Islander"	"A-PI"	"5-9 years"	"5-9"	"Male"	"M"	1421
	"All Invasive Cancer Sites Combined"	"0"	"Asian or Pacific Islander"	"A-PI"	"10-14 years"	"10-14"	"Female"	"F"	1349
	"All Invasive Cancer Sites Combined"	"0"	"Asian or Pacific Islander"	"A-PI"	"10-14 years"	"10-14"	"Male"	"M"	1526
	"All Invasive Cancer Sites Combined"	"0"	"Asian or Pacific Islander"	"A-PI"	"15-19 years"	"15-19"	"Female"	"F"	2089
	"All Invasive Cancer Sites Combined"	"0"	"Asian or Pacific Islander"	"A-PI"	"15-19 years"	"15-19"	"Male"	"M"	2242
	"All Invasive Cancer Sites Combined"	"0"	"Asian or Pacific Islander"	"A-PI"	"20-24 years"	"20-24"	"Female"	"F"	3729
	"All Invasive Cancer Sites Combined"	"0"	"Asian or Pacific Islander"	"A-PI"	"20-24 years"	"20-24"	"Male"	"M"	3236
	"All Invasive Cancer Sites Combined"	"0"	"Asian or Pacific Islander"	"A-PI"	"25-29 years"	"25-29"	"Female"	"F"	7719
	"All Invasive Cancer Sites Combined"	"0"	"Asian or Pacific Islander"	"A-PI"	"25-29 years"	"25-29"	"Male"	"M"	4607
	"All Invasive Cancer Sites Combined"	"0"	"Asian or Pacific Islander"	"A-PI"	"30-34 years"	"30-34"	"Female"	"F"	14528
	"All Invasive Cancer Sites Combined"	"0"	"Asian or Pacific Islander"	"A-PI"	"30-34 years"	"30-34"	"Male"	"M"	6590
	"All Invasive Cancer Sites Combined"	"0"	"Asian or Pacific Islander"	"A-PI"	"35-39 years"	"35-39"	"Female"	"F"	23288
	"All Invasive Cancer Sites Combined"	"0"	"Asian or Pacific Islander"	"A-PI"	"35-39 years"	"35-39"	"Male"	"M"	9106
	"All Invasive Cancer Sites Combined"	"0"	"Asian or Pacific Islander"	"A-PI"	"40-44 years"	"40-44"	"Female"	"F"	36577
	"All Invasive Cancer Sites Combined"	"0"	"Asian or Pacific Islander"	"A-PI"	"40-44 years"	"40-44"	"Male"	"M"	13262
	"All Invasive Cancer Sites Combined"	"0"	"Asian or Pacific Islander"	"A-PI"	"45-49 years"	"45-49"	"Female"	"F"	50004
	"All Invasive Cancer Sites Combined"	"0"	"Asian or Pacific Islander"	"A-PI"	"45-49 years"	"45-49"	"Male"	"M"	20411
	"All Invasive Cancer Sites Combined"	"0"	"Asian or Pacific Islander"	"A-PI"	"50-54 years"	"50-54"	"Female"	"F"	56946
	"All Invasive Cancer Sites Combined"	"0"	"Asian or Pacific Islander"	"A-PI"	"50-54 years"	"50-54"	"Male"	"M"	32034
	"All Invasive Cancer Sites Combined"	"0"	"Asian or Pacific Islander"	"A-PI"	"55-59 years"	"55-59"	"Female"	"F"	59613
	"All Invasive Cancer Sites Combined"	"0"	"Asian or Pacific Islander"	"A-PI"	"55-59 years"	"55-59"	"Male"	"M"	44970
	"All Invasive Cancer Sites Combined"	"0"	"Asian or Pacific Islander"	"A-PI"	"60-64 years "	"60-64"	"Female"	"F"	60118
	"All Invasive Cancer Sites Combined"	"0"	"Asian or Pacific Islander"	"A-PI"	"60-64 years "	"60-64"	"Male"	"M"	56951
	"All Invasive Cancer Sites Combined"	"0"	"Asian or Pacific Islander"	"A-PI"	"65-69 years"	"65-69"	"Female"	"F"	59689
	"All Invasive Cancer Sites Combined"	"0"	"Asian or Pacific Islander"	"A-PI"	"65-69 years"	"65-69"	"Male"	"M"	66778
	"All Invasive Cancer Sites Combined"	"0"	"Asian or Pacific Islander"	"A-PI"	"70-74 years"	"70-74"	"Female"	"F"	51883
	"All Invasive Cancer Sites Combined"	"0"	"Asian or Pacific Islander"	"A-PI"	"70-74 years"	"70-74"	"Male"	"M"	61594
	"All Invasive Cancer Sites Combined"	"0"	"Asian or Pacific Islander"	"A-PI"	"75-79 years"	"75-79"	"Female"	"F"	42438
	"All Invasive Cancer Sites Combined"	"0"	"Asian or Pacific Islander"	"A-PI"	"75-79 years"	"75-79"	"Male"	"M"	51485
	"All Invasive Cancer Sites Combined"	"0"	"Asian or Pacific Islander"	"A-PI"	"80-84 years"	"80-84"	"Female"	"F"	32280
	"All Invasive Cancer Sites Combined"	"0"	"Asian or Pacific Islander"	"A-PI"	"80-84 years"	"80-84"	"Male"	"M"	35072
	"All Invasive Cancer Sites Combined"	"0"	"Asian or Pacific Islander"	"A-PI"	"85+ years"	"85+"	"Female"	"F"	30015
	"All Invasive Cancer Sites Combined"	"0"	"Asian or Pacific Islander"	"A-PI"	"85+ years"	"85+"	"Male"	"M"	27430
	"All Invasive Cancer Sites Combined"	"0"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"Female"	"F"	1313
	"All Invasive Cancer Sites Combined"	"0"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"Male"	"M"	1430
	"All Invasive Cancer Sites Combined"	"0"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"Female"	"F"	4231
	"All Invasive Cancer Sites Combined"	"0"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"Male"	"M"	4840
	"All Invasive Cancer Sites Combined"	"0"	"Black or African American"	"2054-5"	"5-9 years"	"5-9"	"Female"	"F"	3353
	"All Invasive Cancer Sites Combined"	"0"	"Black or African American"	"2054-5"	"5-9 years"	"5-9"	"Male"	"M"	3783
	"All Invasive Cancer Sites Combined"	"0"	"Black or African American"	"2054-5"	"10-14 years"	"10-14"	"Female"	"F"	4112
	"All Invasive Cancer Sites Combined"	"0"	"Black or African American"	"2054-5"	"10-14 years"	"10-14"	"Male"	"M"	4523
	"All Invasive Cancer Sites Combined"	"0"	"Black or African American"	"2054-5"	"15-19 years"	"15-19"	"Female"	"F"	5724
	"All Invasive Cancer Sites Combined"	"0"	"Black or African American"	"2054-5"	"15-19 years"	"15-19"	"Male"	"M"	6050
	"All Invasive Cancer Sites Combined"	"0"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Female"	"F"	9531
	"All Invasive Cancer Sites Combined"	"0"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Male"	"M"	7652
	"All Invasive Cancer Sites Combined"	"0"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Female"	"F"	18443
	"All Invasive Cancer Sites Combined"	"0"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Male"	"M"	11212
	"All Invasive Cancer Sites Combined"	"0"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Female"	"F"	33236
	"All Invasive Cancer Sites Combined"	"0"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Male"	"M"	15909
	"All Invasive Cancer Sites Combined"	"0"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"Female"	"F"	55134
	"All Invasive Cancer Sites Combined"	"0"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"Male"	"M"	24928
	"All Invasive Cancer Sites Combined"	"0"	"Black or African American"	"2054-5"	"40-44 years"	"40-44"	"Female"	"F"	90328
	"All Invasive Cancer Sites Combined"	"0"	"Black or African American"	"2054-5"	"40-44 years"	"40-44"	"Male"	"M"	47202
	"All Invasive Cancer Sites Combined"	"0"	"Black or African American"	"2054-5"	"45-49 years"	"45-49"	"Female"	"F"	132070
	"All Invasive Cancer Sites Combined"	"0"	"Black or African American"	"2054-5"	"45-49 years"	"45-49"	"Male"	"M"	95288
	"All Invasive Cancer Sites Combined"	"0"	"Black or African American"	"2054-5"	"50-54 years"	"50-54"	"Female"	"F"	176665
	"All Invasive Cancer Sites Combined"	"0"	"Black or African American"	"2054-5"	"50-54 years"	"50-54"	"Male"	"M"	182017
	"All Invasive Cancer Sites Combined"	"0"	"Black or African American"	"2054-5"	"55-59 years"	"55-59"	"Female"	"F"	207883
	"All Invasive Cancer Sites Combined"	"0"	"Black or African American"	"2054-5"	"55-59 years"	"55-59"	"Male"	"M"	270535
	"All Invasive Cancer Sites Combined"	"0"	"Black or African American"	"2054-5"	"60-64 years "	"60-64"	"Female"	"F"	223166
	"All Invasive Cancer Sites Combined"	"0"	"Black or African American"	"2054-5"	"60-64 years "	"60-64"	"Male"	"M"	315587
	"All Invasive Cancer Sites Combined"	"0"	"Black or African American"	"2054-5"	"65-69 years"	"65-69"	"Female"	"F"	220348
	"All Invasive Cancer Sites Combined"	"0"	"Black or African American"	"2054-5"	"65-69 years"	"65-69"	"Male"	"M"	314770
	"All Invasive Cancer Sites Combined"	"0"	"Black or African American"	"2054-5"	"70-74 years"	"70-74"	"Female"	"F"	189002
	"All Invasive Cancer Sites Combined"	"0"	"Black or African American"	"2054-5"	"70-74 years"	"70-74"	"Male"	"M"	242028
	"All Invasive Cancer Sites Combined"	"0"	"Black or African American"	"2054-5"	"75-79 years"	"75-79"	"Female"	"F"	155943
	"All Invasive Cancer Sites Combined"	"0"	"Black or African American"	"2054-5"	"75-79 years"	"75-79"	"Male"	"M"	169072
	"All Invasive Cancer Sites Combined"	"0"	"Black or African American"	"2054-5"	"80-84 years"	"80-84"	"Female"	"F"	113651
	"All Invasive Cancer Sites Combined"	"0"	"Black or African American"	"2054-5"	"80-84 years"	"80-84"	"Male"	"M"	99784
	"All Invasive Cancer Sites Combined"	"0"	"Black or African American"	"2054-5"	"85+ years"	"85+"	"Female"	"F"	109010
	"All Invasive Cancer Sites Combined"	"0"	"Black or African American"	"2054-5"	"85+ years"	"85+"	"Male"	"M"	69652
	"All Invasive Cancer Sites Combined"	"0"	"White"	"2106-3"	"< 1 year"	"1"	"Female"	"F"	8428
	"All Invasive Cancer Sites Combined"	"0"	"White"	"2106-3"	"< 1 year"	"1"	"Male"	"M"	9432
	"All Invasive Cancer Sites Combined"	"0"	"White"	"2106-3"	"1-4 years"	"1-4"	"Female"	"F"	28151
	"All Invasive Cancer Sites Combined"	"0"	"White"	"2106-3"	"1-4 years"	"1-4"	"Male"	"M"	33266
	"All Invasive Cancer Sites Combined"	"0"	"White"	"2106-3"	"5-9 years"	"5-9"	"Female"	"F"	19476
	"All Invasive Cancer Sites Combined"	"0"	"White"	"2106-3"	"5-9 years"	"5-9"	"Male"	"M"	24449
	"All Invasive Cancer Sites Combined"	"0"	"White"	"2106-3"	"10-14 years"	"10-14"	"Female"	"F"	24089
	"All Invasive Cancer Sites Combined"	"0"	"White"	"2106-3"	"10-14 years"	"10-14"	"Male"	"M"	26674
	"All Invasive Cancer Sites Combined"	"0"	"White"	"2106-3"	"15-19 years"	"15-19"	"Female"	"F"	40159
	"All Invasive Cancer Sites Combined"	"0"	"White"	"2106-3"	"15-19 years"	"15-19"	"Male"	"M"	45251
	"All Invasive Cancer Sites Combined"	"0"	"White"	"2106-3"	"20-24 years"	"20-24"	"Female"	"F"	70016
	"All Invasive Cancer Sites Combined"	"0"	"White"	"2106-3"	"20-24 years"	"20-24"	"Male"	"M"	67812
	"All Invasive Cancer Sites Combined"	"0"	"White"	"2106-3"	"25-29 years"	"25-29"	"Female"	"F"	124265
	"All Invasive Cancer Sites Combined"	"0"	"White"	"2106-3"	"25-29 years"	"25-29"	"Male"	"M"	95104
	"All Invasive Cancer Sites Combined"	"0"	"White"	"2106-3"	"30-34 years"	"30-34"	"Female"	"F"	211102
	"All Invasive Cancer Sites Combined"	"0"	"White"	"2106-3"	"30-34 years"	"30-34"	"Male"	"M"	127489
	"All Invasive Cancer Sites Combined"	"0"	"White"	"2106-3"	"35-39 years"	"35-39"	"Female"	"F"	335675
	"All Invasive Cancer Sites Combined"	"0"	"White"	"2106-3"	"35-39 years"	"35-39"	"Male"	"M"	178049
	"All Invasive Cancer Sites Combined"	"0"	"White"	"2106-3"	"40-44 years"	"40-44"	"Female"	"F"	553798
	"All Invasive Cancer Sites Combined"	"0"	"White"	"2106-3"	"40-44 years"	"40-44"	"Male"	"M"	290322
	"All Invasive Cancer Sites Combined"	"0"	"White"	"2106-3"	"45-49 years"	"45-49"	"Female"	"F"	843305
	"All Invasive Cancer Sites Combined"	"0"	"White"	"2106-3"	"45-49 years"	"45-49"	"Male"	"M"	528309
	"All Invasive Cancer Sites Combined"	"0"	"White"	"2106-3"	"50-54 years"	"50-54"	"Female"	"F"	1143004
	"All Invasive Cancer Sites Combined"	"0"	"White"	"2106-3"	"50-54 years"	"50-54"	"Male"	"M"	991568
	"All Invasive Cancer Sites Combined"	"0"	"White"	"2106-3"	"55-59 years"	"55-59"	"Female"	"F"	1409340
	"All Invasive Cancer Sites Combined"	"0"	"White"	"2106-3"	"55-59 years"	"55-59"	"Male"	"M"	1539851
	"All Invasive Cancer Sites Combined"	"0"	"White"	"2106-3"	"60-64 years "	"60-64"	"Female"	"F"	1613923
	"All Invasive Cancer Sites Combined"	"0"	"White"	"2106-3"	"60-64 years "	"60-64"	"Male"	"M"	2015321
	"All Invasive Cancer Sites Combined"	"0"	"White"	"2106-3"	"65-69 years"	"65-69"	"Female"	"F"	1775583
	"All Invasive Cancer Sites Combined"	"0"	"White"	"2106-3"	"65-69 years"	"65-69"	"Male"	"M"	2379628
	"All Invasive Cancer Sites Combined"	"0"	"White"	"2106-3"	"70-74 years"	"70-74"	"Female"	"F"	1744876
	"All Invasive Cancer Sites Combined"	"0"	"White"	"2106-3"	"70-74 years"	"70-74"	"Male"	"M"	2289057
	"All Invasive Cancer Sites Combined"	"0"	"White"	"2106-3"	"75-79 years"	"75-79"	"Female"	"F"	1612176
	"All Invasive Cancer Sites Combined"	"0"	"White"	"2106-3"	"75-79 years"	"75-79"	"Male"	"M"	1947770
	"All Invasive Cancer Sites Combined"	"0"	"White"	"2106-3"	"80-84 years"	"80-84"	"Female"	"F"	1309468
	"All Invasive Cancer Sites Combined"	"0"	"White"	"2106-3"	"80-84 years"	"80-84"	"Male"	"M"	1373966
	"All Invasive Cancer Sites Combined"	"0"	"White"	"2106-3"	"85+ years"	"85+"	"Female"	"F"	1313889
	"All Invasive Cancer Sites Combined"	"0"	"White"	"2106-3"	"85+ years"	"85+"	"Male"	"M"	1065017
	"All Invasive Cancer Sites Combined"	"0"	"Other Races and Unknown combined"	"2131-1"	"< 1 year"	"1"	"Female"	"F"	278
	"All Invasive Cancer Sites Combined"	"0"	"Other Races and Unknown combined"	"2131-1"	"< 1 year"	"1"	"Male"	"M"	343
	"All Invasive Cancer Sites Combined"	"0"	"Other Races and Unknown combined"	"2131-1"	"1-4 years"	"1-4"	"Female"	"F"	843
	"All Invasive Cancer Sites Combined"	"0"	"Other Races and Unknown combined"	"2131-1"	"1-4 years"	"1-4"	"Male"	"M"	1034
	"All Invasive Cancer Sites Combined"	"0"	"Other Races and Unknown combined"	"2131-1"	"5-9 years"	"5-9"	"Female"	"F"	599
	"All Invasive Cancer Sites Combined"	"0"	"Other Races and Unknown combined"	"2131-1"	"5-9 years"	"5-9"	"Male"	"M"	655
	"All Invasive Cancer Sites Combined"	"0"	"Other Races and Unknown combined"	"2131-1"	"10-14 years"	"10-14"	"Female"	"F"	672
	"All Invasive Cancer Sites Combined"	"0"	"Other Races and Unknown combined"	"2131-1"	"10-14 years"	"10-14"	"Male"	"M"	699
	"All Invasive Cancer Sites Combined"	"0"	"Other Races and Unknown combined"	"2131-1"	"15-19 years"	"15-19"	"Female"	"F"	1087
	"All Invasive Cancer Sites Combined"	"0"	"Other Races and Unknown combined"	"2131-1"	"15-19 years"	"15-19"	"Male"	"M"	1111
	"All Invasive Cancer Sites Combined"	"0"	"Other Races and Unknown combined"	"2131-1"	"20-24 years"	"20-24"	"Female"	"F"	2308
	"All Invasive Cancer Sites Combined"	"0"	"Other Races and Unknown combined"	"2131-1"	"20-24 years"	"20-24"	"Male"	"M"	1993
	"All Invasive Cancer Sites Combined"	"0"	"Other Races and Unknown combined"	"2131-1"	"25-29 years"	"25-29"	"Female"	"F"	3976
	"All Invasive Cancer Sites Combined"	"0"	"Other Races and Unknown combined"	"2131-1"	"25-29 years"	"25-29"	"Male"	"M"	3034
	"All Invasive Cancer Sites Combined"	"0"	"Other Races and Unknown combined"	"2131-1"	"30-34 years"	"30-34"	"Female"	"F"	6091
	"All Invasive Cancer Sites Combined"	"0"	"Other Races and Unknown combined"	"2131-1"	"30-34 years"	"30-34"	"Male"	"M"	3967
	"All Invasive Cancer Sites Combined"	"0"	"Other Races and Unknown combined"	"2131-1"	"35-39 years"	"35-39"	"Female"	"F"	8208
	"All Invasive Cancer Sites Combined"	"0"	"Other Races and Unknown combined"	"2131-1"	"35-39 years"	"35-39"	"Male"	"M"	4954
	"All Invasive Cancer Sites Combined"	"0"	"Other Races and Unknown combined"	"2131-1"	"40-44 years"	"40-44"	"Female"	"F"	10941
	"All Invasive Cancer Sites Combined"	"0"	"Other Races and Unknown combined"	"2131-1"	"40-44 years"	"40-44"	"Male"	"M"	7000
	"All Invasive Cancer Sites Combined"	"0"	"Other Races and Unknown combined"	"2131-1"	"45-49 years"	"45-49"	"Female"	"F"	13522
	"All Invasive Cancer Sites Combined"	"0"	"Other Races and Unknown combined"	"2131-1"	"45-49 years"	"45-49"	"Male"	"M"	10483
	"All Invasive Cancer Sites Combined"	"0"	"Other Races and Unknown combined"	"2131-1"	"50-54 years"	"50-54"	"Female"	"F"	16124
	"All Invasive Cancer Sites Combined"	"0"	"Other Races and Unknown combined"	"2131-1"	"50-54 years"	"50-54"	"Male"	"M"	18816
	"All Invasive Cancer Sites Combined"	"0"	"Other Races and Unknown combined"	"2131-1"	"55-59 years"	"55-59"	"Female"	"F"	17113
	"All Invasive Cancer Sites Combined"	"0"	"Other Races and Unknown combined"	"2131-1"	"55-59 years"	"55-59"	"Male"	"M"	26995
	"All Invasive Cancer Sites Combined"	"0"	"Other Races and Unknown combined"	"2131-1"	"60-64 years "	"60-64"	"Female"	"F"	16819
	"All Invasive Cancer Sites Combined"	"0"	"Other Races and Unknown combined"	"2131-1"	"60-64 years "	"60-64"	"Male"	"M"	33186
	"All Invasive Cancer Sites Combined"	"0"	"Other Races and Unknown combined"	"2131-1"	"65-69 years"	"65-69"	"Female"	"F"	15894
	"All Invasive Cancer Sites Combined"	"0"	"Other Races and Unknown combined"	"2131-1"	"65-69 years"	"65-69"	"Male"	"M"	35686
	"All Invasive Cancer Sites Combined"	"0"	"Other Races and Unknown combined"	"2131-1"	"70-74 years"	"70-74"	"Female"	"F"	13400
	"All Invasive Cancer Sites Combined"	"0"	"Other Races and Unknown combined"	"2131-1"	"70-74 years"	"70-74"	"Male"	"M"	29269
	"All Invasive Cancer Sites Combined"	"0"	"Other Races and Unknown combined"	"2131-1"	"75-79 years"	"75-79"	"Female"	"F"	10410
	"All Invasive Cancer Sites Combined"	"0"	"Other Races and Unknown combined"	"2131-1"	"75-79 years"	"75-79"	"Male"	"M"	20717
	"All Invasive Cancer Sites Combined"	"0"	"Other Races and Unknown combined"	"2131-1"	"80-84 years"	"80-84"	"Female"	"F"	7459
	"All Invasive Cancer Sites Combined"	"0"	"Other Races and Unknown combined"	"2131-1"	"80-84 years"	"80-84"	"Male"	"M"	11791
	"All Invasive Cancer Sites Combined"	"0"	"Other Races and Unknown combined"	"2131-1"	"85+ years"	"85+"	"Female"	"F"	7170
	"All Invasive Cancer Sites Combined"	"0"	"Other Races and Unknown combined"	"2131-1"	"85+ years"	"85+"	"Male"	"M"	7512
	"Oral Cavity and Pharynx"	"20010-20100"	"American Indian or Alaska Native"	"1002-5"	"25-29 years"	"25-29"	"Female"	"F"	22
	"Oral Cavity and Pharynx"	"20010-20100"	"American Indian or Alaska Native"	"1002-5"	"25-29 years"	"25-29"	"Male"	"M"	24
	"Oral Cavity and Pharynx"	"20010-20100"	"American Indian or Alaska Native"	"1002-5"	"30-34 years"	"30-34"	"Female"	"F"	26
	"Oral Cavity and Pharynx"	"20010-20100"	"American Indian or Alaska Native"	"1002-5"	"30-34 years"	"30-34"	"Male"	"M"	31
	"Oral Cavity and Pharynx"	"20010-20100"	"American Indian or Alaska Native"	"1002-5"	"35-39 years"	"35-39"	"Female"	"F"	43
	"Oral Cavity and Pharynx"	"20010-20100"	"American Indian or Alaska Native"	"1002-5"	"35-39 years"	"35-39"	"Male"	"M"	66
	"Oral Cavity and Pharynx"	"20010-20100"	"American Indian or Alaska Native"	"1002-5"	"40-44 years"	"40-44"	"Female"	"F"	57
	"Oral Cavity and Pharynx"	"20010-20100"	"American Indian or Alaska Native"	"1002-5"	"40-44 years"	"40-44"	"Male"	"M"	155
	"Oral Cavity and Pharynx"	"20010-20100"	"American Indian or Alaska Native"	"1002-5"	"45-49 years"	"45-49"	"Female"	"F"	112
	"Oral Cavity and Pharynx"	"20010-20100"	"American Indian or Alaska Native"	"1002-5"	"45-49 years"	"45-49"	"Male"	"M"	282
	"Oral Cavity and Pharynx"	"20010-20100"	"American Indian or Alaska Native"	"1002-5"	"50-54 years"	"50-54"	"Female"	"F"	187
	"Oral Cavity and Pharynx"	"20010-20100"	"American Indian or Alaska Native"	"1002-5"	"50-54 years"	"50-54"	"Male"	"M"	488
	"Oral Cavity and Pharynx"	"20010-20100"	"American Indian or Alaska Native"	"1002-5"	"55-59 years"	"55-59"	"Female"	"F"	216
	"Oral Cavity and Pharynx"	"20010-20100"	"American Indian or Alaska Native"	"1002-5"	"55-59 years"	"55-59"	"Male"	"M"	618
	"Oral Cavity and Pharynx"	"20010-20100"	"American Indian or Alaska Native"	"1002-5"	"60-64 years "	"60-64"	"Female"	"F"	196
	"Oral Cavity and Pharynx"	"20010-20100"	"American Indian or Alaska Native"	"1002-5"	"60-64 years "	"60-64"	"Male"	"M"	605
