"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	Count
	"Brain and Other Nervous System"	"31010-31040"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	482
	"Brain and Other Nervous System"	"31010-31040"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	3936
	"Brain and Other Nervous System"	"31010-31040"	"20-24 years"	"20-24"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	72
	"Brain and Other Nervous System"	"31010-31040"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	55
	"Brain and Other Nervous System"	"31010-31040"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	219
	"Brain and Other Nervous System"	"31010-31040"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	554
	"Brain and Other Nervous System"	"31010-31040"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	5052
	"Brain and Other Nervous System"	"31010-31040"	"20-24 years"	"20-24"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	111
	"Brain and Other Nervous System"	"31010-31040"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	74
	"Brain and Other Nervous System"	"31010-31040"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	262
	"Brain and Other Nervous System"	"31010-31040"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	596
	"Brain and Other Nervous System"	"31010-31040"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	5140
	"Brain and Other Nervous System"	"31010-31040"	"25-29 years"	"25-29"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	97
	"Brain and Other Nervous System"	"31010-31040"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	77
	"Brain and Other Nervous System"	"31010-31040"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	327
	"Brain and Other Nervous System"	"31010-31040"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	631
	"Brain and Other Nervous System"	"31010-31040"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	6761
	"Brain and Other Nervous System"	"31010-31040"	"25-29 years"	"25-29"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	159
	"Brain and Other Nervous System"	"31010-31040"	"30-34 years"	"30-34"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	54
	"Brain and Other Nervous System"	"31010-31040"	"30-34 years"	"30-34"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	276
	"Brain and Other Nervous System"	"31010-31040"	"30-34 years"	"30-34"	"Female"	"F"	"Black or African American"	"2054-5"	639
	"Brain and Other Nervous System"	"31010-31040"	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	6077
	"Brain and Other Nervous System"	"31010-31040"	"30-34 years"	"30-34"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	104
	"Brain and Other Nervous System"	"31010-31040"	"30-34 years"	"30-34"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	87
	"Brain and Other Nervous System"	"31010-31040"	"30-34 years"	"30-34"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	386
	"Brain and Other Nervous System"	"31010-31040"	"30-34 years"	"30-34"	"Male"	"M"	"Black or African American"	"2054-5"	665
	"Brain and Other Nervous System"	"31010-31040"	"30-34 years"	"30-34"	"Male"	"M"	"White"	"2106-3"	8179
	"Brain and Other Nervous System"	"31010-31040"	"30-34 years"	"30-34"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	150
	"Brain and Other Nervous System"	"31010-31040"	"35-39 years"	"35-39"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	65
	"Brain and Other Nervous System"	"31010-31040"	"35-39 years"	"35-39"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	345
	"Brain and Other Nervous System"	"31010-31040"	"35-39 years"	"35-39"	"Female"	"F"	"Black or African American"	"2054-5"	677
	"Brain and Other Nervous System"	"31010-31040"	"35-39 years"	"35-39"	"Female"	"F"	"White"	"2106-3"	6718
	"Brain and Other Nervous System"	"31010-31040"	"35-39 years"	"35-39"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	99
	"Brain and Other Nervous System"	"31010-31040"	"35-39 years"	"35-39"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	74
	"Brain and Other Nervous System"	"31010-31040"	"35-39 years"	"35-39"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	433
	"Brain and Other Nervous System"	"31010-31040"	"35-39 years"	"35-39"	"Male"	"M"	"Black or African American"	"2054-5"	857
	"Brain and Other Nervous System"	"31010-31040"	"35-39 years"	"35-39"	"Male"	"M"	"White"	"2106-3"	9100
	"Brain and Other Nervous System"	"31010-31040"	"35-39 years"	"35-39"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	151
	"Brain and Other Nervous System"	"31010-31040"	"40-44 years"	"40-44"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	73
	"Brain and Other Nervous System"	"31010-31040"	"40-44 years"	"40-44"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	363
	"Brain and Other Nervous System"	"31010-31040"	"40-44 years"	"40-44"	"Female"	"F"	"Black or African American"	"2054-5"	830
	"Brain and Other Nervous System"	"31010-31040"	"40-44 years"	"40-44"	"Female"	"F"	"White"	"2106-3"	7897
	"Brain and Other Nervous System"	"31010-31040"	"40-44 years"	"40-44"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	81
	"Brain and Other Nervous System"	"31010-31040"	"40-44 years"	"40-44"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	78
	"Brain and Other Nervous System"	"31010-31040"	"40-44 years"	"40-44"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	458
	"Brain and Other Nervous System"	"31010-31040"	"40-44 years"	"40-44"	"Male"	"M"	"Black or African American"	"2054-5"	1001
	"Brain and Other Nervous System"	"31010-31040"	"40-44 years"	"40-44"	"Male"	"M"	"White"	"2106-3"	10996
	"Brain and Other Nervous System"	"31010-31040"	"40-44 years"	"40-44"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	162
	"Brain and Other Nervous System"	"31010-31040"	"45-49 years"	"45-49"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	70
	"Brain and Other Nervous System"	"31010-31040"	"45-49 years"	"45-49"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	367
	"Brain and Other Nervous System"	"31010-31040"	"45-49 years"	"45-49"	"Female"	"F"	"Black or African American"	"2054-5"	979
	"Brain and Other Nervous System"	"31010-31040"	"45-49 years"	"45-49"	"Female"	"F"	"White"	"2106-3"	10056
	"Brain and Other Nervous System"	"31010-31040"	"45-49 years"	"45-49"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	93
	"Brain and Other Nervous System"	"31010-31040"	"45-49 years"	"45-49"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	96
	"Brain and Other Nervous System"	"31010-31040"	"45-49 years"	"45-49"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	506
	"Brain and Other Nervous System"	"31010-31040"	"45-49 years"	"45-49"	"Male"	"M"	"Black or African American"	"2054-5"	1280
	"Brain and Other Nervous System"	"31010-31040"	"45-49 years"	"45-49"	"Male"	"M"	"White"	"2106-3"	14386
	"Brain and Other Nervous System"	"31010-31040"	"45-49 years"	"45-49"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	145
	"Brain and Other Nervous System"	"31010-31040"	"50-54 years"	"50-54"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	81
	"Brain and Other Nervous System"	"31010-31040"	"50-54 years"	"50-54"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	406
	"Brain and Other Nervous System"	"31010-31040"	"50-54 years"	"50-54"	"Female"	"F"	"Black or African American"	"2054-5"	1213
	"Brain and Other Nervous System"	"31010-31040"	"50-54 years"	"50-54"	"Female"	"F"	"White"	"2106-3"	12992
	"Brain and Other Nervous System"	"31010-31040"	"50-54 years"	"50-54"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	98
	"Brain and Other Nervous System"	"31010-31040"	"50-54 years"	"50-54"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	98
	"Brain and Other Nervous System"	"31010-31040"	"50-54 years"	"50-54"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	517
	"Brain and Other Nervous System"	"31010-31040"	"50-54 years"	"50-54"	"Male"	"M"	"Black or African American"	"2054-5"	1593
	"Brain and Other Nervous System"	"31010-31040"	"50-54 years"	"50-54"	"Male"	"M"	"White"	"2106-3"	18561
	"Brain and Other Nervous System"	"31010-31040"	"50-54 years"	"50-54"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	157
	"Brain and Other Nervous System"	"31010-31040"	"55-59 years"	"55-59"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	103
	"Brain and Other Nervous System"	"31010-31040"	"55-59 years"	"55-59"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	459
	"Brain and Other Nervous System"	"31010-31040"	"55-59 years"	"55-59"	"Female"	"F"	"Black or African American"	"2054-5"	1401
	"Brain and Other Nervous System"	"31010-31040"	"55-59 years"	"55-59"	"Female"	"F"	"White"	"2106-3"	16297
	"Brain and Other Nervous System"	"31010-31040"	"55-59 years"	"55-59"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	107
	"Brain and Other Nervous System"	"31010-31040"	"55-59 years"	"55-59"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	121
	"Brain and Other Nervous System"	"31010-31040"	"55-59 years"	"55-59"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	547
	"Brain and Other Nervous System"	"31010-31040"	"55-59 years"	"55-59"	"Male"	"M"	"Black or African American"	"2054-5"	1795
	"Brain and Other Nervous System"	"31010-31040"	"55-59 years"	"55-59"	"Male"	"M"	"White"	"2106-3"	22854
	"Brain and Other Nervous System"	"31010-31040"	"55-59 years"	"55-59"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	173
	"Brain and Other Nervous System"	"31010-31040"	"60-64 years "	"60-64"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	77
	"Brain and Other Nervous System"	"31010-31040"	"60-64 years "	"60-64"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	497
	"Brain and Other Nervous System"	"31010-31040"	"60-64 years "	"60-64"	"Female"	"F"	"Black or African American"	"2054-5"	1331
	"Brain and Other Nervous System"	"31010-31040"	"60-64 years "	"60-64"	"Female"	"F"	"White"	"2106-3"	18017
	"Brain and Other Nervous System"	"31010-31040"	"60-64 years "	"60-64"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	95
	"Brain and Other Nervous System"	"31010-31040"	"60-64 years "	"60-64"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	99
	"Brain and Other Nervous System"	"31010-31040"	"60-64 years "	"60-64"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	605
	"Brain and Other Nervous System"	"31010-31040"	"60-64 years "	"60-64"	"Male"	"M"	"Black or African American"	"2054-5"	1601
	"Brain and Other Nervous System"	"31010-31040"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	24789
	"Brain and Other Nervous System"	"31010-31040"	"60-64 years "	"60-64"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	134
	"Brain and Other Nervous System"	"31010-31040"	"65-69 years"	"65-69"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	88
	"Brain and Other Nervous System"	"31010-31040"	"65-69 years"	"65-69"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	469
	"Brain and Other Nervous System"	"31010-31040"	"65-69 years"	"65-69"	"Female"	"F"	"Black or African American"	"2054-5"	1301
	"Brain and Other Nervous System"	"31010-31040"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	18550
	"Brain and Other Nervous System"	"31010-31040"	"65-69 years"	"65-69"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	102
	"Brain and Other Nervous System"	"31010-31040"	"65-69 years"	"65-69"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	107
	"Brain and Other Nervous System"	"31010-31040"	"65-69 years"	"65-69"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	529
	"Brain and Other Nervous System"	"31010-31040"	"65-69 years"	"65-69"	"Male"	"M"	"Black or African American"	"2054-5"	1489
	"Brain and Other Nervous System"	"31010-31040"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	24733
	"Brain and Other Nervous System"	"31010-31040"	"65-69 years"	"65-69"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	149
	"Brain and Other Nervous System"	"31010-31040"	"70-74 years"	"70-74"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	56
	"Brain and Other Nervous System"	"31010-31040"	"70-74 years"	"70-74"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	396
	"Brain and Other Nervous System"	"31010-31040"	"70-74 years"	"70-74"	"Female"	"F"	"Black or African American"	"2054-5"	1149
	"Brain and Other Nervous System"	"31010-31040"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	18147
	"Brain and Other Nervous System"	"31010-31040"	"70-74 years"	"70-74"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	97
	"Brain and Other Nervous System"	"31010-31040"	"70-74 years"	"70-74"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	81
	"Brain and Other Nervous System"	"31010-31040"	"70-74 years"	"70-74"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	440
	"Brain and Other Nervous System"	"31010-31040"	"70-74 years"	"70-74"	"Male"	"M"	"Black or African American"	"2054-5"	1150
	"Brain and Other Nervous System"	"31010-31040"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	22375
	"Brain and Other Nervous System"	"31010-31040"	"70-74 years"	"70-74"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	106
	"Brain and Other Nervous System"	"31010-31040"	"75-79 years"	"75-79"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	62
	"Brain and Other Nervous System"	"31010-31040"	"75-79 years"	"75-79"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	292
	"Brain and Other Nervous System"	"31010-31040"	"75-79 years"	"75-79"	"Female"	"F"	"Black or African American"	"2054-5"	892
	"Brain and Other Nervous System"	"31010-31040"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	16607
	"Brain and Other Nervous System"	"31010-31040"	"75-79 years"	"75-79"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	71
	"Brain and Other Nervous System"	"31010-31040"	"75-79 years"	"75-79"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	77
	"Brain and Other Nervous System"	"31010-31040"	"75-79 years"	"75-79"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	385
	"Brain and Other Nervous System"	"31010-31040"	"75-79 years"	"75-79"	"Male"	"M"	"Black or African American"	"2054-5"	824
	"Brain and Other Nervous System"	"31010-31040"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	18666
	"Brain and Other Nervous System"	"31010-31040"	"75-79 years"	"75-79"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	86
	"Brain and Other Nervous System"	"31010-31040"	"80-84 years"	"80-84"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	32
	"Brain and Other Nervous System"	"31010-31040"	"80-84 years"	"80-84"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	257
	"Brain and Other Nervous System"	"31010-31040"	"80-84 years"	"80-84"	"Female"	"F"	"Black or African American"	"2054-5"	703
	"Brain and Other Nervous System"	"31010-31040"	"80-84 years"	"80-84"	"Female"	"F"	"White"	"2106-3"	12992
	"Brain and Other Nervous System"	"31010-31040"	"80-84 years"	"80-84"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	63
	"Brain and Other Nervous System"	"31010-31040"	"80-84 years"	"80-84"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	44
	"Brain and Other Nervous System"	"31010-31040"	"80-84 years"	"80-84"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	258
	"Brain and Other Nervous System"	"31010-31040"	"80-84 years"	"80-84"	"Male"	"M"	"Black or African American"	"2054-5"	546
	"Brain and Other Nervous System"	"31010-31040"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	12807
	"Brain and Other Nervous System"	"31010-31040"	"80-84 years"	"80-84"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	55
	"Brain and Other Nervous System"	"31010-31040"	"85+ years"	"85+"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	25
	"Brain and Other Nervous System"	"31010-31040"	"85+ years"	"85+"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	236
	"Brain and Other Nervous System"	"31010-31040"	"85+ years"	"85+"	"Female"	"F"	"Black or African American"	"2054-5"	703
	"Brain and Other Nervous System"	"31010-31040"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	11759
	"Brain and Other Nervous System"	"31010-31040"	"85+ years"	"85+"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	60
	"Brain and Other Nervous System"	"31010-31040"	"85+ years"	"85+"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	21
	"Brain and Other Nervous System"	"31010-31040"	"85+ years"	"85+"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	221
	"Brain and Other Nervous System"	"31010-31040"	"85+ years"	"85+"	"Male"	"M"	"Black or African American"	"2054-5"	317
	"Brain and Other Nervous System"	"31010-31040"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	8719
	"Brain and Other Nervous System"	"31010-31040"	"85+ years"	"85+"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	41
	"Breast"	"26000"	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	18
	"Breast"	"26000"	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	31
	"Breast"	"26000"	"15-19 years"	"15-19"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	19
	"Breast"	"26000"	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	103
	"Breast"	"26000"	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	251
	"Breast"	"26000"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	28
	"Breast"	"26000"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	174
	"Breast"	"26000"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	912
	"Breast"	"26000"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	2412
	"Breast"	"26000"	"20-24 years"	"20-24"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	74
	"Breast"	"26000"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	23
	"Breast"	"26000"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	194
	"Breast"	"26000"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	1248
	"Breast"	"26000"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	4360
	"Breast"	"26000"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	15331
	"Breast"	"26000"	"25-29 years"	"25-29"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	312
	"Breast"	"26000"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	20
	"Breast"	"26000"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	57
	"Breast"	"26000"	"30-34 years"	"30-34"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	507
	"Breast"	"26000"	"30-34 years"	"30-34"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	4096
	"Breast"	"26000"	"30-34 years"	"30-34"	"Female"	"F"	"Black or African American"	"2054-5"	11626
	"Breast"	"26000"	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	47508
	"Breast"	"26000"	"30-34 years"	"30-34"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	905
	"Breast"	"26000"	"30-34 years"	"30-34"	"Male"	"M"	"Black or African American"	"2054-5"	52
	"Breast"	"26000"	"30-34 years"	"30-34"	"Male"	"M"	"White"	"2106-3"	150
	"Breast"	"26000"	"35-39 years"	"35-39"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	1042
	"Breast"	"26000"	"35-39 years"	"35-39"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	9013
